volume,date,day_of_the_week,is_holiday
5.0,2019-01-01,Tuesday,True
558.0,2019-01-02,Wednesday,False
455.0,2019-01-03,Thursday,False
418.0,2019-01-04,Friday,False
198.0,2019-01-05,Saturday,False
0.0,2019-01-06,Sunday,False
480.0,2019-01-07,Monday,False
426.0,2019-01-08,Tuesday,False
413.0,2019-01-09,Wednesday,False
407.0,2019-01-10,Thursday,False
352.0,2019-01-11,Friday,False
167.0,2019-01-12,Saturday,False
0.0,2019-01-13,Sunday,False
429.0,2019-01-14,Monday,False
420.0,2019-01-15,Tuesday,False
327.0,2019-01-16,Wednesday,False
376.0,2019-01-17,Thursday,False
361.0,2019-01-18,Friday,False
152.0,2019-01-19,Saturday,False
0.0,2019-01-20,Sunday,False
478.0,2019-01-21,Monday,False
421.0,2019-01-22,Tuesday,False
419.0,2019-01-23,Wednesday,False
404.0,2019-01-24,Thursday,False
395.0,2019-01-25,Friday,False
179.0,2019-01-26,Saturday,False
0.0,2019-01-27,Sunday,False
615.0,2019-01-28,Monday,False
565.0,2019-01-29,Tuesday,False
434.0,2019-01-30,Wednesday,False
441.0,2019-01-31,Thursday,False
482.0,2019-02-01,Friday,False
125.0,2019-02-02,Saturday,False
0.0,2019-02-03,Sunday,False
0.0,2019-02-04,Monday,True
0.0,2019-02-05,Tuesday,True
0.0,2019-02-06,Wednesday,True
1.0,2019-02-07,Thursday,True
0.0,2019-02-08,Friday,True
0.0,2019-02-09,Saturday,True
0.0,2019-02-10,Sunday,False
382.0,2019-02-11,Monday,False
450.0,2019-02-12,Tuesday,False
389.0,2019-02-13,Wednesday,False
390.0,2019-02-14,Thursday,False
389.0,2019-02-15,Friday,False
117.0,2019-02-16,Saturday,False
0.0,2019-02-17,Sunday,False
388.0,2019-02-18,Monday,False
371.0,2019-02-19,Tuesday,False
384.0,2019-02-20,Wednesday,False
382.0,2019-02-21,Thursday,False
397.0,2019-02-22,Friday,False
155.0,2019-02-23,Saturday,False
0.0,2019-02-24,Sunday,False
512.0,2019-02-25,Monday,False
444.0,2019-02-26,Tuesday,False
340.0,2019-02-27,Wednesday,False
364.0,2019-02-28,Thursday,False
442.0,2019-03-01,Friday,False
135.0,2019-03-02,Saturday,False
0.0,2019-03-03,Sunday,False
506.0,2019-03-04,Monday,False
423.0,2019-03-05,Tuesday,False
336.0,2019-03-06,Wednesday,False
357.0,2019-03-07,Thursday,False
399.0,2019-03-08,Friday,False
119.0,2019-03-09,Saturday,False
0.0,2019-03-10,Sunday,False
522.0,2019-03-11,Monday,False
410.0,2019-03-12,Tuesday,False
367.0,2019-03-13,Wednesday,False
396.0,2019-03-14,Thursday,False
393.0,2019-03-15,Friday,False
161.0,2019-03-16,Saturday,False
0.0,2019-03-17,Sunday,False
504.0,2019-03-18,Monday,False
403.0,2019-03-19,Tuesday,False
366.0,2019-03-20,Wednesday,False
351.0,2019-03-21,Thursday,False
372.0,2019-03-22,Friday,False
159.0,2019-03-23,Saturday,False
1.0,2019-03-24,Sunday,False
479.0,2019-03-25,Monday,False
6.0,2019-03-26,Tuesday,False
2.0,2019-03-27,Wednesday,False
1.0,2019-03-28,Thursday,False
130.0,2019-03-29,Friday,False
103.0,2019-03-30,Saturday,False
0.0,2019-03-31,Sunday,False
302.0,2019-04-01,Monday,False
236.0,2019-04-02,Tuesday,False
226.0,2019-04-03,Wednesday,False
242.0,2019-04-04,Thursday,False
354.0,2019-04-05,Friday,False
149.0,2019-04-06,Saturday,False
0.0,2019-04-07,Sunday,False
452.0,2019-04-08,Monday,False
400.0,2019-04-09,Tuesday,False
389.0,2019-04-10,Wednesday,False
393.0,2019-04-11,Thursday,False
434.0,2019-04-12,Friday,False
119.0,2019-04-13,Saturday,False
0.0,2019-04-14,Sunday,True
0.0,2019-04-15,Monday,True
577.0,2019-04-16,Tuesday,False
445.0,2019-04-17,Wednesday,False
404.0,2019-04-18,Thursday,False
412.0,2019-04-19,Friday,False
138.0,2019-04-20,Saturday,False
0.0,2019-04-21,Sunday,False
468.0,2019-04-22,Monday,False
391.0,2019-04-23,Tuesday,False
